variable,dropout_loss,ENM,K,Oversampling,Proportion
TP,0.462400219,MAX,6,SMOTE,0.2
BOD,0.458536753,MAX,7,SMOTE,0.2
COD,0.496542685,MAX,7,SMOTE,0.2
Conductivity,0.454739361,MAX,7,SMOTE,0.2
DO,0.454642268,MAX,7,SMOTE,0.2
pH,0.460080447,MAX,7,SMOTE,0.2
SS,0.459711413,MAX,7,SMOTE,0.2
TN,0.459329623,MAX,7,SMOTE,0.2
TP,0.456203733,MAX,7,SMOTE,0.2
BOD,0.471940727,MAX,8,SMOTE,0.2
COD,0.497404595,MAX,8,SMOTE,0.2
Conductivity,0.470378745,MAX,8,SMOTE,0.2
DO,0.469847493,MAX,8,SMOTE,0.2
pH,0.470401584,MAX,8,SMOTE,0.2
SS,0.470888873,MAX,8,SMOTE,0.2
TN,0.473444037,MAX,8,SMOTE,0.2
TP,0.47073695,MAX,8,SMOTE,0.2
BOD,0.470246114,MAX,9,SMOTE,0.2
COD,0.511173142,MAX,9,SMOTE,0.2
Conductivity,0.469004836,MAX,9,SMOTE,0.2
DO,0.478669763,MAX,9,SMOTE,0.2
pH,0.474697578,MAX,9,SMOTE,0.2
SS,0.469702925,MAX,9,SMOTE,0.2
TN,0.471283194,MAX,9,SMOTE,0.2
TP,0.475441232,MAX,9,SMOTE,0.2
BOD,0.470862571,MAX,10,SMOTE,0.2
COD,0.504741377,MAX,10,SMOTE,0.2
Conductivity,0.457459152,MAX,10,SMOTE,0.2
DO,0.458347026,MAX,10,SMOTE,0.2
pH,0.457452715,MAX,10,SMOTE,0.2
SS,0.458749089,MAX,10,SMOTE,0.2
TN,0.461044365,MAX,10,SMOTE,0.2
TP,0.463439239,MAX,10,SMOTE,0.2
BOD,0.468874212,MAX,1,ADASYN,0.2
COD,0.496001456,MAX,1,ADASYN,0.2
Conductivity,0.467764185,MAX,1,ADASYN,0.2
DO,0.470516429,MAX,1,ADASYN,0.2
pH,0.465203135,MAX,1,ADASYN,0.2
SS,0.464134421,MAX,1,ADASYN,0.2
TN,0.466650745,MAX,1,ADASYN,0.2
TP,0.471446158,MAX,1,ADASYN,0.2
BOD,0.466529982,MAX,2,ADASYN,0.2
COD,0.503687328,MAX,2,ADASYN,0.2
Conductivity,0.466024322,MAX,2,ADASYN,0.2
DO,0.477532768,MAX,2,ADASYN,0.2
pH,0.468566743,MAX,2,ADASYN,0.2
SS,0.467853496,MAX,2,ADASYN,0.2
TN,0.472728961,MAX,2,ADASYN,0.2
TP,0.468461766,MAX,2,ADASYN,0.2
BOD,0.471818723,MAX,3,ADASYN,0.2
COD,0.503817068,MAX,3,ADASYN,0.2
Conductivity,0.466519994,MAX,3,ADASYN,0.2
DO,0.4700462,MAX,3,ADASYN,0.2
pH,0.469344782,MAX,3,ADASYN,0.2
SS,0.469680978,MAX,3,ADASYN,0.2
TN,0.465186775,MAX,3,ADASYN,0.2
TP,0.472114918,MAX,3,ADASYN,0.2
BOD,0.473310154,MAX,4,ADASYN,0.2
COD,0.509588012,MAX,4,ADASYN,0.2
Conductivity,0.468980042,MAX,4,ADASYN,0.2
DO,0.470869743,MAX,4,ADASYN,0.2
pH,0.469896257,MAX,4,ADASYN,0.2
SS,0.472230783,MAX,4,ADASYN,0.2
TN,0.471344096,MAX,4,ADASYN,0.2
TP,0.470535723,MAX,4,ADASYN,0.2
BOD,0.465129787,MAX,5,ADASYN,0.2
COD,0.503353025,MAX,5,ADASYN,0.2
Conductivity,0.463298835,MAX,5,ADASYN,0.2
DO,0.469012272,MAX,5,ADASYN,0.2
pH,0.46351453,MAX,5,ADASYN,0.2
SS,0.464807807,MAX,5,ADASYN,0.2
TN,0.465190296,MAX,5,ADASYN,0.2
TP,0.466324581,MAX,5,ADASYN,0.2
BOD,0.466952843,MAX,6,ADASYN,0.2
COD,0.489072345,MAX,6,ADASYN,0.2
Conductivity,0.459322846,MAX,6,ADASYN,0.2
DO,0.461807127,MAX,6,ADASYN,0.2
pH,0.462269638,MAX,6,ADASYN,0.2
SS,0.462297287,MAX,6,ADASYN,0.2
TN,0.460393954,MAX,6,ADASYN,0.2
TP,0.463851361,MAX,6,ADASYN,0.2
BOD,0.475882608,MAX,7,ADASYN,0.2
COD,0.509488334,MAX,7,ADASYN,0.2
Conductivity,0.47447495,MAX,7,ADASYN,0.2
DO,0.476217316,MAX,7,ADASYN,0.2
pH,0.480739017,MAX,7,ADASYN,0.2
SS,0.474147682,MAX,7,ADASYN,0.2
TN,0.474903405,MAX,7,ADASYN,0.2
TP,0.476214447,MAX,7,ADASYN,0.2
BOD,0.459030407,MAX,8,ADASYN,0.2
COD,0.489601995,MAX,8,ADASYN,0.2
Conductivity,0.453442509,MAX,8,ADASYN,0.2
DO,0.454137908,MAX,8,ADASYN,0.2
pH,0.457324251,MAX,8,ADASYN,0.2
SS,0.455515928,MAX,8,ADASYN,0.2
TN,0.456306601,MAX,8,ADASYN,0.2
TP,0.456802382,MAX,8,ADASYN,0.2
BOD,0.474090698,MAX,9,ADASYN,0.2
COD,0.507723799,MAX,9,ADASYN,0.2
Conductivity,0.473051659,MAX,9,ADASYN,0.2
DO,0.482105497,MAX,9,ADASYN,0.2
pH,0.477704214,MAX,9,ADASYN,0.2
SS,0.474939157,MAX,9,ADASYN,0.2
TN,0.47573041,MAX,9,ADASYN,0.2
TP,0.477686845,MAX,9,ADASYN,0.2
BOD,0.470924035,MAX,10,ADASYN,0.2
COD,0.499979785,MAX,10,ADASYN,0.2
Conductivity,0.457587735,MAX,10,ADASYN,0.2
DO,0.462348117,MAX,10,ADASYN,0.2
pH,0.459587106,MAX,10,ADASYN,0.2
SS,0.458093002,MAX,10,ADASYN,0.2
TN,0.461805506,MAX,10,ADASYN,0.2
TP,0.466264644,MAX,10,ADASYN,0.2
