,OC,pH,Conductivity,DO,BOD,COD,SS,TN,TP
204,1,8.35,275,10.75,0.55,2.5,1.7,2.8905,0.0125
205,1,8.5,253,11.45,0.6,2.75,1.45,2.6945,0.008
206,1,8.55,244,10.6,1.35,2.15,2.2,3.6995,0.016
207,0,8.35,276,11.6,1,2.1,1.05,2.311,0.012
208,1,8.4,268.5,9.8,0.6,1.9,1.6,2.6535,0.0155
209,1,8.35,254.5,10.15,1.1,2.55,1.45,1.9655,0.03
210,1,8.6,274.5,10.9,0.8,2.6,1.25,2.589,0.0175
211,1,8.3,246,10.5,1.1,3.3,4.65,2.8945,0.024
213,0,8,126,10.65,0.65,1.6,1.1,2.8485,0.026
214,1,8.45,156,8.9,0.95,2.3,2.4,3.027,0.0215
215,1,8.45,155.5,10.55,0.95,1.35,1.3,3.4355,0.0155
216,1,8.15,117,10.85,0.55,1.8,4.7,2.7865,0.0195
217,1,8.15,104,10.75,0.85,1.6,2.05,2.5945,0.023
218,1,8.65,134.5,8.9,0.95,1.9,2.9,2.8375,0.022
219,0,8.3,128.5,10.9,1.3,2.25,5.75,2.315,0.015
220,1,8.3,171,11,0.95,1.65,1.9,3.732,0.0115
221,1,7.9,127.5,9.5,1,1.75,2.9,2.7685,0.0145
222,1,8.55,184.5,9.65,0.85,2.05,6.8,3.499,0.0195
223,1,7.55,136,10.6,0.85,1.6,2.6,2.829,0.0175
224,1,8.3,166.5,8.55,1.2,1.9,8.1,3.805,0.03
225,1,8.55,199.5,10.75,1.2,2.35,6.3,3.311,0.0265
226,0,8.7,190.5,9.6,0.5,1.95,2.2,4.7615,0.0155
232,1,7.95,181,8.45,0.8,2.3,2.4,3.5115,0.0305
233,1,7.7,208.5,10,1.25,1.75,2.1,4.763,0.021
234,1,8,156,9.95,0.65,2.65,7.7,4,0.04
235,0,7.6,155,10.2,1,2,2.75,3.4725,0.0285
236,1,7.7,180.5,8.5,0.85,1.95,5.15,4.288,0.0435
237,0,7.75,193.5,10.15,2.2,3.25,11.3,3.76,0.0335
239,1,7.4,205,9.2,1.3,2.35,4.2,4.6625,0.027
243,1,8,255,10.75,2,3.45,11.6,4.7195,0.0345
247,0,7.8875,155,10.875,0.55,2.0375,2.225,3.282625,0.017625
248,1,7.985714286,164.2857143,11.48571429,0.928571429,1.757142857,0.914285714,2.931428571,0.010285714
249,1,8.5875,135.875,11.3375,1.025,3.4125,11.675,3.298875,0.03425
250,0,8.628571429,176.8571429,11.15714286,0.928571429,2.542857143,2.557142857,2.618571429,0.020571429
251,1,8.385714286,143.7142857,10.67142857,1.071428571,3.142857143,6.228571429,3.267285714,0.029857143
252,1,8.3875,151.375,9.875,1,3.3,2.15,3.094125,0.023375
253,1,7.925,125.25,11.65,0.9625,3.5,6.3875,2.2765,0.0235
254,1,8.571428571,174.5714286,10.84285714,0.685714286,2.857142857,3.385714286,2.740714286,0.018857143
255,0,8.466666667,168.8888889,10.9,1.544444444,3.911111111,8.822222222,2.330888889,0.026444444
256,1,8.157142857,189.5714286,10.32857143,0.914285714,3.228571429,8.642857143,3.077714286,0.038285714
257,1,7.988888889,165.2222222,10.98888889,0.966666667,2.944444444,3.966666667,2.703777778,0.015333333
258,1,8.242857143,242.5714286,10.91428571,0.642857143,2.7,1.985714286,2.029428571,0.008714286
259,1,7.9125,164.25,10.575,0.8625,3.2875,4.2875,3.126,0.017875
260,1,8.528571429,222.5714286,11.5,0.657142857,3.014285714,3.814285714,2.709428571,0.019
261,1,8.6625,188.875,10.325,1.1125,3.45,3.1625,2.59575,0.01925
262,1,8.3875,212.75,11.15,0.675,2.9375,1.55,4.2785,0.019
267,1,8.1,210.5,10.2,0.95,2.45,3.8,3.6055,0.017
268,0,8.35,236.5,8.55,0.8,2,1.4,2.523,0.0125
269,1,8.2,220,10.75,1.2,1.45,2.1,3.468,0.0095
270,1,8.15,199,9.15,0.8,1.6,4,2.6655,0.0095
271,1,8.4,164.5,10.95,0.85,1.75,2.45,2.517,0.0125
272,1,8.3,209,9.7,0.6,1.8,2.7,2.5005,0.014
273,1,8.2,195.5,9.5,1.9,2.6,4.6,2.134,0.014
274,1,8,213.5,9.7,1.1,1.8,6.5,3.006,0.01
275,1,7.85,180,8.25,1.25,2.35,8.8,2.7115,0.0195
276,1,8.1,266.5,9.7,0.8,1.45,1.2,2.294,0.0155
277,1,8.15,234.5,10.6,1.4,1.85,1.3,2.986,0.011
278,0,8.25,256,9.2,0.95,2.2,3.9,2.792,0.021
279,1,8.2,246,10.35,1.05,2.5,1.7,2.8945,0.01
280,1,8,272,11.35,0.85,1.95,0.6,3.2425,0.0145
281,1,8.475,198.5,11.1875,1.0375,3.5375,14.6,3.337375,0.039375
282,0,8.428571429,252.5714286,11.05714286,0.628571429,2.514285714,4.4,2.692857143,0.020571429
283,1,8.242857143,191.2857143,11.14285714,1.385714286,3.8,12.58571429,3.333142857,0.042428571
284,1,8.3625,225.625,10.025,0.55,3.2625,3.975,3.07775,0.02475
285,1,7.9125,185,11.7,1.125,3.7375,9.15,2.40975,0.02725
