,OC,pH,Conductivity,DO,BOD,COD,SS,TN,TP
153,1,8.05,337.5,11.7,0.85,1.45,3.75,2.1855,0.008
154,1,7.9,384,8.95,0.8,2.05,1.15,3.379,0.027
155,1,8.1,316.5,11.2,1.15,2.75,2.95,2.2995,0.0105
157,1,7.95,325,11.6,0.8,2.05,2.05,3.243,0.018
158,1,8.35,396,9.95,0.65,1.95,0.55,2.447,0.015
160,1,8.35,352,10.55,1.2,1.6,1.15,3.2555,0.0245
161,1,8.5,409,11.6,1.2,1.55,1.8,2.136,0.0085
162,0,8.15,346.5,10.05,0.95,0.65,0.75,2.009,0.0085
163,1,7.45,230.5,11,0.25,2.15,2.25,3.382,0.0155
164,1,8.65,231.5,11.1,0.6,3.25,4.35,3.788,0.028
165,1,8.5,205,11.35,0.3,1.8,2.85,3.414,0.0145
166,1,7.3,255,10.1,0.8,2.05,1.45,3.0125,0.033
167,1,8.35,221,11.3,1,2.35,2.7,2.3265,0.0125
168,1,8.3,257.5,11.6,1.05,1.85,3.35,3.2145,0.0075
169,1,8.55,198.5,12,1.35,2.85,5.1,2.4185,0.011
170,1,8.35,217.5,10,1.15,2.75,3.15,2.9395,0.01
171,1,8.3,224,12.5,0.95,2.6,2.35,2.729,0.013
172,1,8.15,216,9.2,0.85,3.7,1.25,3.2995,0.017
173,1,8.65,255.5,9.5,0.9,1.85,4.15,3.571,0.024
174,1,8.55,225.5,9.65,1.6,1.9,8.85,2.677,0.031
175,1,8.5,276,12.25,0.85,2.2,1.1,2.352,0.015
176,1,8.4,269,10.2,0.25,1.95,1.3,2.656,0.016
177,1,8.1,282,10.75,0.5,1.65,1.4,3.5805,0.0075
178,1,8.7,286,8.65,0.55,1.65,0.7,2.576,0.0095
179,1,8.1,273.5,11.1,0.8,1.8,9.1,3.2095,0.024
180,1,8.45,257,10.15,0.65,1.45,1.5,2.634,0.0055
181,1,8.45,227.5,10.6,0.4,1.15,0.95,2.459,0.0055
182,1,8.6,233.5,10.95,0.5,1.3,1.15,2.502,0.012
183,1,8.4,241.5,11,0.9,1.55,0.75,1.7445,0.005
184,1,8.2,268.5,10.85,0.85,1.05,1.7,3.3805,0.007
185,1,7.85,250,8.95,1,1.55,1.5,1.9505,0.01
186,1,8.05,359,10.6,0.65,0.95,2,1.759,0.0145
187,1,7.85,335,11.05,0.85,1.6,0.3,2.382,0.005
188,0,8.15,358.5,10.5,1,1.05,0.4,1.351,0.007
189,1,8.2,316,10.55,0.45,1.55,0.8,1.7835,0.004
190,1,7.75,343,9.7,0.75,1.3,1.7,2.8925,0.0115
191,1,7.85,239,10.7,0.4,2.45,2.45,3.5105,0.0245
192,1,8.55,231.5,11,0.45,3.3,3.9,3.824,0.0225
193,1,8.25,208,11.1,0.75,2,2.55,3.4605,0.014
194,1,7.35,259.5,10.15,0.65,2.15,1.3,3.0705,0.0225
195,1,8.3,223,12.4,0.8,3.45,2.55,2.3405,0.012
196,1,8.15,257.5,11.55,0.9,2.05,3.5,2.8055,0.01
197,1,8.5,195.5,10.75,1.2,2.5,4.3,2.3225,0.0105
198,1,8.25,218,9.85,1.05,2.9,3.1,2.83,0.0105
199,1,7.6,232,12,1.15,2.9,2.55,2.6055,0.0155
200,1,8.05,210.5,8.55,1.25,4.5,1.5,3.2885,0.0085
201,1,8.5,258,9.85,1.1,2.1,3.85,2.503,0.0205
202,1,8.3,226,9.3,1.25,2.8,11.8,3.164,0.029
203,1,8.35,274,11.05,1.3,3.95,2.85,2.482,0.0145
